iter	MultiClass
0	1.337504197
1	1.295230467
2	1.259991296
3	1.227145135
4	1.199366275
5	1.172425468
6	1.14851912
7	1.12697324
8	1.107126855
9	1.089075655
10	1.072603728
11	1.057344253
12	1.042836081
13	1.028881104
14	1.016719239
15	1.005554699
16	0.9952993032
17	0.9853854794
18	0.9758594289
19	0.9665735377
20	0.9583469785
21	0.950155964
22	0.9425760036
23	0.9354848007
24	0.9287937438
25	0.92190172
26	0.9161787376
27	0.9096048281
28	0.9041719963
29	0.8986351766
30	0.8935639424
31	0.8881569288
32	0.8833609693
33	0.8787720559
34	0.8750089666
35	0.8713168238
36	0.8669520493
37	0.8631462636
38	0.8597349024
39	0.8561710637
40	0.8528701986
41	0.8499003926
42	0.8471167493
43	0.8445865676
44	0.8417507873
45	0.8391047456
46	0.8365369452
47	0.8339510506
48	0.8319978802
49	0.829566394
50	0.827004029
51	0.8250692389
52	0.8232287101
53	0.8215763465
54	0.8194661215
55	0.8176333883
56	0.815590033
57	0.8137275481
58	0.8120811206
59	0.8108199632
60	0.8093733584
61	0.8076858078
62	0.8059716522
63	0.8047787235
64	0.8031126284
65	0.8016121702
66	0.8002593976
67	0.7990393634
68	0.797864958
69	0.7966996355
70	0.7958177408
71	0.7944145477
72	0.7933356195
73	0.7920316226
74	0.7910408052
75	0.7899670979
76	0.788777316
77	0.7873257764
78	0.7864704866
79	0.7853220425
80	0.7842740103
81	0.783590651
82	0.782649968
83	0.7816995586
84	0.7810644028
85	0.7800542039
86	0.7792622795
87	0.7780988879
88	0.7772574727
89	0.7765985727
90	0.775728121
91	0.774905229
92	0.7738427501
93	0.7732855494
94	0.7726493208
95	0.7720273244
96	0.7712532796
97	0.7708082199
98	0.7700327447
99	0.769450298
100	0.7688433205
101	0.7683070032
102	0.7676690581
103	0.7669713951
104	0.7662861048
105	0.7655563299
106	0.7649040096
107	0.764294815
108	0.7637354688
109	0.7631733333
110	0.7627332084
111	0.7620740939
112	0.7613048408
113	0.7605865805
114	0.7600831617
115	0.7593461635
116	0.7588525428
117	0.7582654474
118	0.7576652641
119	0.7570920432
120	0.7564609639
121	0.7560016721
122	0.7556120393
123	0.7550850909
124	0.7544638812
125	0.7539097558
126	0.7533092149
127	0.7528375504
128	0.7524359024
129	0.7520320374
130	0.7514189093
131	0.7510812704
132	0.75061969
133	0.7501851435
134	0.7495549225
135	0.749029619
136	0.748662443
137	0.748335818
138	0.7479632781
139	0.7472623967
140	0.7467648425
141	0.7463214993
142	0.7460909236
143	0.7456143958
144	0.7452009473
145	0.7448696021
146	0.7444630909
147	0.7439601013
148	0.7435816253
149	0.7431457915
150	0.7424763783
151	0.7420597115
152	0.741655775
153	0.7412884559
154	0.7408513348
155	0.740295493
156	0.739779487
157	0.7395519866
158	0.7392760682
159	0.7388260738
160	0.7383668535
161	0.7381240481
162	0.7377578734
163	0.7374223801
164	0.7368844894
165	0.7365712383
166	0.736194908
167	0.7357016448
168	0.7352796141
169	0.7350101324
170	0.7346574746
171	0.7343615311
172	0.7340256801
173	0.7337190088
174	0.7334074742
175	0.7329396716
176	0.7324641451
177	0.7321002589
178	0.7317328684
179	0.7313536772
180	0.7311115156
181	0.7307256732
182	0.7303768775
183	0.7300712074
184	0.7297725461
185	0.7294180289
186	0.7291544117
187	0.7288761332
188	0.7285309133
189	0.7282851758
190	0.7279825094
191	0.7276232005
192	0.727250589
193	0.7270062818
194	0.7267686258
195	0.7265035782
196	0.7262988208
197	0.7259621116
198	0.7256269044
199	0.7252880497
200	0.7249906043
201	0.7246802139
202	0.7244121626
203	0.7240449866
204	0.7238988027
205	0.7235454298
206	0.7233329483
207	0.723118965
208	0.7227798957
209	0.7224705782
210	0.7221889383
211	0.7219326875
212	0.721631237
213	0.7213805646
214	0.7211729464
215	0.7210216848
216	0.7207189469
217	0.7205116148
218	0.7203896042
219	0.7201274889
220	0.7198218903
221	0.7196342973
222	0.7193235494
223	0.7189867687
224	0.7185984232
225	0.7184614653
226	0.718253418
227	0.7180085386
228	0.7177119514
229	0.717337695
230	0.7169936195
231	0.7167314326
232	0.7164949925
233	0.716290235
234	0.7160300506
235	0.7157476241
236	0.7156068041
237	0.7154145624
238	0.7150106974
239	0.7147623851
240	0.7145335974
241	0.7143510107
242	0.7142748435
243	0.7140484874
244	0.7138084713
245	0.7135115265
246	0.713213938
247	0.71307698
248	0.7128819491
249	0.7126622442
250	0.7124825182
251	0.7121982321
252	0.7120383168
253	0.7117598237
254	0.7116979602
255	0.7115140146
256	0.711268134
257	0.7110967041
258	0.710881648
259	0.7107790904
260	0.7105616026
261	0.7103971101
262	0.7102761008
263	0.7101063874
264	0.7098972672
265	0.7096483828
266	0.7094758802
267	0.7092520273
268	0.7090710139
269	0.7088804886
270	0.7086952557
271	0.7084427954
272	0.7081446347
273	0.7078439709
274	0.7077058687
275	0.7074824449
276	0.7072498667
277	0.7070226524
278	0.7068392074
279	0.706642317
280	0.7063733359
281	0.7061795207
282	0.7059383603
283	0.7056068006
284	0.705394176
285	0.7052222455
286	0.7049700713
287	0.7047954231
288	0.7045845865
289	0.7044175908
290	0.704265471
291	0.7040323206
292	0.7038447991
293	0.7036521998
294	0.7034244133
295	0.7031063705
296	0.7028777974
297	0.7027371205
298	0.7025330067
299	0.7024171467
