iter	Passed	Remaining
0	1452	434351
1	2901	432284
2	4302	425993
3	5747	425326
4	7142	421412
5	8667	424716
6	10179	426088
7	11720	427807
8	13220	427453
9	14691	426063
10	16124	423639
11	17642	423423
12	19120	422124
13	20713	423156
14	22211	422025
15	23695	420600
16	25282	420875
17	26754	419150
18	28330	418988
19	29847	417862
20	31461	417983
21	33108	418369
22	34692	417820
23	36254	416925
24	37717	414893
25	39218	413305
26	40681	411339
27	42292	410842
28	43878	410039
29	45498	409484
30	47146	409110
31	48909	409621
32	50615	409529
33	52226	408598
34	53869	407871
35	55489	406925
36	57172	406391
37	58647	404356
38	60255	403245
39	61737	401295
40	63413	400589
41	64851	398374
42	66374	396700
43	67900	395055
44	69449	393549
45	71005	392073
46	72472	390118
47	74033	388675
48	75420	386337
49	76910	384552
50	78565	383585
51	80024	381655
52	81456	379617
53	82954	377901
54	84403	375979
55	85874	374168
56	87398	372595
57	88890	370887
58	90290	368812
59	91744	366977
60	93129	364883
61	94598	363134
62	96205	361915
63	97498	359526
64	99018	357990
65	100478	356241
66	101828	354120
67	103266	352319
68	104873	351099
69	106394	349582
70	107741	347503
71	109299	346115
72	110839	344666
73	112206	342684
74	113577	340732
75	114967	338850
76	116296	336807
77	117778	335216
78	119164	333359
79	120694	331909
80	122096	330111
81	123507	328349
82	124935	326638
83	126453	325166
84	127829	323334
85	129244	321609
86	130582	319702
87	132061	318147
88	133430	316334
89	134703	314308
90	136133	312657
91	137554	310992
92	139110	309633
93	140395	307675
94	141722	305821
95	143057	303996
96	144482	302370
97	145801	300530
98	147182	298824
99	148471	296943
100	149815	295180
101	151111	293334
102	152489	291654
103	153980	290193
104	155514	288811
105	156969	287283
106	158406	285724
107	159741	283984
108	161052	282210
109	162427	280555
110	163742	278803
111	165157	277228
112	166651	275785
113	168104	274276
114	169503	272678
115	170912	271101
116	172189	269322
117	173663	267853
118	175082	266301
119	176424	264636
120	177844	263092
121	179131	261355
122	180452	259675
123	181782	258013
124	183317	256644
125	184723	255094
126	186085	253487
127	187427	251855
128	188785	250250
129	190133	248636
130	191649	247242
131	192985	245617
132	194304	243976
133	195568	242271
134	197053	240843
135	198475	239338
136	199944	237889
137	201505	236550
138	203069	235210
139	204522	233740
140	205871	232153
141	207240	230591
142	208569	228988
143	209911	227404
144	211287	225859
145	212538	224184
146	213905	222636
147	215280	221098
148	216726	219635
149	218194	218194
150	219814	216902
151	221183	215362
152	222545	213818
153	224033	212395
154	225467	210921
155	226995	209534
156	228409	208042
157	229795	206525
158	231103	204940
159	232424	203371
160	233862	201905
161	235106	200275
162	236591	198853
163	237942	197318
164	239517	195968
165	240855	194425
166	242224	192909
167	243788	191547
168	245265	190116
169	246566	188550
170	247959	187057
171	249333	185550
172	250796	184110
173	252061	182527
174	253427	181019
175	254944	179620
176	256534	178269
177	258028	176851
178	259388	175341
179	260904	173936
180	262224	172401
181	263665	170948
182	265032	169447
183	266387	167939
184	267831	166490
185	269201	164994
186	270687	163570
187	271994	162039
188	273274	160494
189	274646	159005
190	276030	157525
191	277458	156070
192	278784	154559
193	280085	153036
194	281360	151501
195	282835	150075
196	284258	148622
197	285786	147223
198	287259	145795
199	288655	144327
200	290042	142856
201	291402	141373
202	292793	139906
203	294263	138477
204	295763	137061
205	297205	135617
206	298496	134107
207	299818	132612
208	301261	131171
209	302814	129777
210	304085	128263
211	305399	126769
212	306779	125304
213	308193	123853
214	309650	122419
215	311049	120963
216	312365	119476
217	313616	117965
218	314911	116474
219	316260	115003
220	317691	113563
221	319002	112081
222	320377	110623
223	321935	109228
224	323380	107793
225	324783	106344
226	326115	104874
227	327499	103420
228	328927	101981
229	330358	100543
230	331902	99139
231	333284	97686
232	334681	96238
233	336046	94782
234	337530	93359
235	338909	91907
236	340168	90424
237	341566	88979
238	343108	87571
239	344505	86126
240	345934	84689
241	347292	83235
242	348590	81768
243	349944	80315
244	351373	78879
245	352783	77440
246	354243	76011
247	355569	74554
248	357030	73126
249	358360	71672
250	359772	70234
251	361182	68796
252	362471	67336
253	363912	65905
254	365129	64434
255	366594	63008
256	368020	61575
257	369277	60114
258	370739	58688
259	372038	57236
260	373509	55811
261	374808	54361
262	376097	52910
263	377526	51480
264	378890	50042
265	380216	48599
266	381702	47176
267	383182	45753
268	384509	44311
269	385942	42882
270	387388	41454
271	388658	40008
272	390106	38581
273	391387	37138
274	392734	35703
275	394119	34271
276	395608	32848
277	396950	31413
278	398217	29973
279	399506	28536
280	401062	27118
281	402465	25689
282	403907	24262
283	405454	22842
284	406844	21412
285	408205	19982
286	409614	18553
287	410901	17120
288	412403	15697
289	413942	14273
290	415322	12845
291	416846	11420
292	418202	9991
293	419492	8561
294	420947	7134
295	422345	5707
296	423908	4281
297	425380	2854
298	426764	1427
299	428193	0
